name	kind	category	arguments	signature	returns	since	description
ducknng_start_server	scalar	Service Control	name, listen, contexts, recv_max_bytes, session_idle_ms, tls_config_id	ducknng_start_server(name, listen, contexts, recv_max_bytes, session_idle_ms, tls_config_id)	BOOLEAN	0.1.0	Start a named ducknng REP listener.
ducknng_stop_server	scalar	Service Control	name	ducknng_stop_server(name)	BOOLEAN	0.1.0	Stop a named ducknng service.
ducknng_list_servers	table	Introspection		ducknng_list_servers()	TABLE(service_id UBIGINT, name VARCHAR, listen VARCHAR, contexts INTEGER, running BOOLEAN, sessions UBIGINT)	0.1.0	List registered ducknng services.
ducknng_register_exec_method	scalar	Method Registry		ducknng_register_exec_method()	BOOLEAN	0.1.0	Register the built-in exec RPC method explicitly.
ducknng_unregister_method	scalar	Method Registry	name	ducknng_unregister_method(name)	BOOLEAN	0.1.0	Unregister a method from the runtime registry.
ducknng_unregister_family	scalar	Method Registry	family	ducknng_unregister_family(family)	UBIGINT	0.1.0	Unregister all methods in a family and return the number removed.
ducknng_list_methods	table	Method Registry		ducknng_list_methods()	TABLE(name VARCHAR, family VARCHAR, summary VARCHAR, transport_pattern VARCHAR, request_payload_format VARCHAR, response_payload_format VARCHAR, response_mode VARCHAR, request_schema_json VARCHAR, response_schema_json VARCHAR, requires_auth BOOLEAN, disabled BOOLEAN)	0.1.0	List the currently registered RPC methods in the runtime registry.
ducknng_open_socket	scalar	Primitive Transport	protocol	ducknng_open_socket(protocol)	UBIGINT	0.1.0	Open a client socket handle for a supported protocol.
ducknng_dial_socket	scalar	Primitive Transport	socket_id, url, timeout_ms	ducknng_dial_socket(socket_id, url, timeout_ms)	BOOLEAN	0.1.0	Dial a URL using an opened socket handle.
ducknng_close_socket	scalar	Primitive Transport	socket_id	ducknng_close_socket(socket_id)	BOOLEAN	0.1.0	Close a client socket handle.
ducknng_list_sockets	table	Primitive Transport		ducknng_list_sockets()	TABLE(socket_id UBIGINT, protocol VARCHAR, url VARCHAR, open BOOLEAN, connected BOOLEAN, send_timeout_ms INTEGER, recv_timeout_ms INTEGER)	0.1.0	List client socket handles in the runtime.
ducknng_list_tls_configs	table	Transport Security		ducknng_list_tls_configs()	TABLE(tls_config_id UBIGINT, source VARCHAR, enabled BOOLEAN, has_cert_key_file BOOLEAN, has_ca_file BOOLEAN, has_cert_pem BOOLEAN, has_key_pem BOOLEAN, has_ca_pem BOOLEAN, has_password BOOLEAN, auth_mode INTEGER)	0.1.0	List registered TLS config handles and the kinds of material they contain.
ducknng_drop_tls_config	scalar	Transport Security	tls_config_id	ducknng_drop_tls_config(tls_config_id)	BOOLEAN	0.1.0	Remove a registered TLS config handle from the runtime.
